,current_cycle,distance,lvalue
0,0.0,-138.6,7.537272727272728
1,0.0,-120.12,7.563333333333333
2,0.0,-106.2,7.625555555555555
3,0.0,-92.4,7.555454545454544
4,0.0,-78.72,7.616363636363636
5,0.0,-65.03999999999999,7.644444444444446
6,0.0,-51.11999999999999,7.803333333333332
7,0.0,-37.44,8.116363636363635
8,0.0,-23.639999999999986,8.653636363636366
9,0.0,-9.72,9.341111111111111
10,0.0,4.200000000000017,9.809999999999999
11,0.0,18.0,9.81
12,0.0,31.920000000000016,9.762727272727274
13,0.0,45.96000000000001,9.556363636363635
14,0.0,59.76000000000002,9.486666666666668
15,0.0,73.68,8.113333333333335
16,0.0,87.60000000000002,7.693636363636364
